chembl_id,canonical_smiles,target,pIC50,MW,LogP,nHBDon,nHBAcc
CHEMBL1466,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,inactive,4.820000071285178,336.29900000000004,2.9014000000000006,2.0,6.0
CHEMBL260998,O=c1oc2ccccc2c(O)c1C(c1ccc[nH]1)c1c(O)c2ccccc2oc1=O,inactive,4.330000038335378,401.37400000000014,3.818900000000001,3.0,6.0
CHEMBL260997,CCOc1cc(C(c2c(O)c3ccccc3oc2=O)c2c(O)c3ccccc3oc2=O)ccc1O,inactive,4.040000018741066,472.44900000000024,4.595100000000004,3.0,8.0
CHEMBL258733,O=c1oc2ccccc2c(O)c1C(c1c(O)c2ccccc2oc1=O)c1c[nH]c2ccccc12,inactive,4.210000001311122,451.43400000000014,4.972100000000003,3.0,6.0
CHEMBL81935,O=c1c(C(c2ccc([N+](=O)[O-])cc2)c2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12,inactive,4.149999990420336,457.3940000000002,4.399000000000003,2.0,8.0
CHEMBL409739,O=c1oc2ccccc2c(O)c1C(c1cccc([N+](=O)[O-])c1)c1c(O)c2ccccc2oc1=O,inactive,4.090000008636461,457.39400000000023,4.399000000000003,2.0,8.0
CHEMBL430228,Nc1cccc(C(c2c(O)c3ccccc3oc2=O)c2c(O)c3ccccc3oc2=O)c1,inactive,4.119999985703918,427.4120000000002,4.073000000000002,3.0,7.0
CHEMBL409439,O=c1oc2ccccc2c(O)c1C(c1cccc(O)c1)c1c(O)c2ccccc2oc1=O,inactive,4.1399999760652255,428.3960000000002,4.1964000000000015,3.0,7.0
CHEMBL259477,O=c1oc2ccccc2c(O)c1C(c1cccnc1)c1c(O)c2ccccc2oc1=O,inactive,4.449999986821809,413.38500000000016,3.8858000000000015,2.0,7.0
CHEMBL259153,O=c1oc2ccccc2c(O)c1C(c1ccncc1)c1c(O)c2ccccc2oc1=O,inactive,4.229999967073058,413.38500000000016,3.8858000000000015,2.0,7.0
CHEMBL259154,O=c1oc2ccccc2c(O)c1C(/C=C/c1ccccc1)c1c(O)c2ccccc2oc1=O,inactive,4.219999989963101,438.4350000000002,5.1559000000000035,2.0,6.0
CHEMBL409740,C/C=C/C(c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,inactive,4.360000032076103,376.3640000000001,4.018600000000002,2.0,6.0
CHEMBL261558,CCCCC(c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,inactive,4.190000019529944,392.4070000000001,4.632700000000004,2.0,6.0
CHEMBL261789,O=c1oc2ccccc2c(O)c1C(CCc1ccccc1)c1c(O)c2ccccc2oc1=O,inactive,4.169999984192581,440.45100000000014,5.075300000000004,2.0,6.0
CHEMBL1904453,CC(C)c1ccc(C(c2c(O)oc3ccccc3c2=O)c2c(O)oc3ccccc3c2=O)cc1,inactive,4.079999984911641,454.4780000000002,5.6142000000000065,2.0,6.0
CHEMBL410266,O=c1oc2ccccc2c(O)c1C(c1ccccc1Br)c1c(O)c2ccccc2oc1=O,inactive,4.130000024196025,491.2930000000002,5.253300000000003,2.0,6.0
CHEMBL412094,O=c1oc2ccccc2c(O)c1C(c1cccc(Cl)c1)c1c(O)c2ccccc2oc1=O,inactive,4.130000024196025,446.8420000000002,5.144200000000003,2.0,6.0
CHEMBL258768,CCCCCC(c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,inactive,4.059999994991732,406.43400000000014,5.0228000000000055,2.0,6.0
CHEMBL238294,COc1ccc(C(c2c(O)c3ccccc3oc2=O)c2c(O)c3ccccc3oc2=O)cc1,inactive,4.219999989963101,442.4230000000002,4.499400000000003,2.0,7.0
CHEMBL264936,COc1cccc(C(c2c(O)c3ccccc3oc2=O)c2c(O)c3ccccc3oc2=O)c1,inactive,4.25000001945443,442.4230000000002,4.499400000000003,2.0,7.0
CHEMBL265181,COc1ccccc1C(c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,inactive,4.079999984911641,442.42300000000023,4.499400000000004,2.0,7.0
CHEMBL409884,O=c1oc2ccccc2c(O)c1C(c1c(O)c2ccccc2oc1=O)c1cccc2ccccc12,inactive,4.070000019492821,462.45700000000016,5.6440000000000055,2.0,6.0
CHEMBL407834,CCCC(c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,inactive,4.169999984192581,378.3800000000001,4.242600000000003,2.0,6.0
CHEMBL259975,O=c1oc2ccccc2c(O)c1C(c1ccccc1Cl)c1c(O)c2ccccc2oc1=O,inactive,4.070000019492821,446.8420000000002,5.144200000000003,2.0,6.0
CHEMBL262114,O=c1c(C(c2ccc(O)cc2)c2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12,inactive,4.130000024196025,428.3960000000002,4.196400000000002,3.0,7.0
CHEMBL260178,CC(c1ccccc1)C(c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,inactive,4.279999967105453,440.4510000000002,5.246200000000005,2.0,6.0
