chembl_id,canonical_smiles,activity,pIC50
CHEMBL1466,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,inactive,4.820000071285178
CHEMBL260998,O=c1oc2ccccc2c(O)c1C(c1ccc[nH]1)c1c(O)c2ccccc2oc1=O,inactive,4.330000038335378
CHEMBL260997,CCOc1cc(C(c2c(O)c3ccccc3oc2=O)c2c(O)c3ccccc3oc2=O)ccc1O,inactive,4.040000018741066
CHEMBL258733,O=c1oc2ccccc2c(O)c1C(c1c(O)c2ccccc2oc1=O)c1c[nH]c2ccccc12,inactive,4.210000001311122
CHEMBL81935,O=c1c(C(c2ccc([N+](=O)[O-])cc2)c2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12,inactive,4.149999990420336
CHEMBL409739,O=c1oc2ccccc2c(O)c1C(c1cccc([N+](=O)[O-])c1)c1c(O)c2ccccc2oc1=O,inactive,4.090000008636461
CHEMBL430228,Nc1cccc(C(c2c(O)c3ccccc3oc2=O)c2c(O)c3ccccc3oc2=O)c1,inactive,4.119999985703918
CHEMBL409439,O=c1oc2ccccc2c(O)c1C(c1cccc(O)c1)c1c(O)c2ccccc2oc1=O,inactive,4.1399999760652255
CHEMBL259477,O=c1oc2ccccc2c(O)c1C(c1cccnc1)c1c(O)c2ccccc2oc1=O,inactive,4.449999986821809
CHEMBL259153,O=c1oc2ccccc2c(O)c1C(c1ccncc1)c1c(O)c2ccccc2oc1=O,inactive,4.229999967073058
CHEMBL259154,O=c1oc2ccccc2c(O)c1C(/C=C/c1ccccc1)c1c(O)c2ccccc2oc1=O,inactive,4.219999989963101
CHEMBL409740,C/C=C/C(c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,inactive,4.360000032076103
CHEMBL261558,CCCCC(c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,inactive,4.190000019529944
CHEMBL261789,O=c1oc2ccccc2c(O)c1C(CCc1ccccc1)c1c(O)c2ccccc2oc1=O,inactive,4.169999984192581
CHEMBL1904453,CC(C)c1ccc(C(c2c(O)oc3ccccc3c2=O)c2c(O)oc3ccccc3c2=O)cc1,inactive,4.079999984911641
CHEMBL410266,O=c1oc2ccccc2c(O)c1C(c1ccccc1Br)c1c(O)c2ccccc2oc1=O,inactive,4.130000024196025
CHEMBL412094,O=c1oc2ccccc2c(O)c1C(c1cccc(Cl)c1)c1c(O)c2ccccc2oc1=O,inactive,4.130000024196025
CHEMBL258768,CCCCCC(c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,inactive,4.059999994991732
CHEMBL238294,COc1ccc(C(c2c(O)c3ccccc3oc2=O)c2c(O)c3ccccc3oc2=O)cc1,inactive,4.219999989963101
CHEMBL264936,COc1cccc(C(c2c(O)c3ccccc3oc2=O)c2c(O)c3ccccc3oc2=O)c1,inactive,4.25000001945443
CHEMBL265181,COc1ccccc1C(c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,inactive,4.079999984911641
CHEMBL409884,O=c1oc2ccccc2c(O)c1C(c1c(O)c2ccccc2oc1=O)c1cccc2ccccc12,inactive,4.070000019492821
CHEMBL407834,CCCC(c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,inactive,4.169999984192581
CHEMBL259975,O=c1oc2ccccc2c(O)c1C(c1ccccc1Cl)c1c(O)c2ccccc2oc1=O,inactive,4.070000019492821
CHEMBL262114,O=c1c(C(c2ccc(O)cc2)c2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12,inactive,4.130000024196025
CHEMBL260178,CC(c1ccccc1)C(c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,inactive,4.279999967105453
CHEMBL130567,COc1cc(C(c2c(O)oc3ccccc3c2=O)c2c(O)oc3ccccc3c2=O)cc(OC)c1OC,inactive,4.079999984911641
CHEMBL411046,COc1ccc(C(c2c(O)c3ccccc3oc2=O)c2c(O)c3ccccc3oc2=O)cc1OC,inactive,4.100000018985305
CHEMBL312008,CN(C)c1ccc(C(c2c(O)oc3ccccc3c2=O)c2c(O)oc3ccccc3c2=O)cc1,inactive,4.090000008636461
CHEMBL402459,CC(c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,inactive,4.200000030616179
CHEMBL734,CC(=O)NO,inactive,4.761953896871205
CHEMBL490506,O=C1c2cc(O)cc3oc(-c4ccc(O)cc4)c(c23)-c2cc(O)cc(O)c2C1c1ccc(O)cc1,inactive,3.896880746454286
CHEMBL1277360,Cc1ccc(-n2c(-c3cccc([N+](=O)[O-])c3)n[nH]c2=S)c(C)c1,inactive,4.341035157335565
CHEMBL1275864,Cc1cccc(-n2c(-c3ccccc3)n[nH]c2=S)c1C,inactive,4.0655015487564325
CHEMBL1277450,Cc1ccc(-n2c(-c3cccc(Cl)c3)n[nH]c2=S)c(C)c1,inactive,3.337657779233692
CHEMBL1277452,Cc1cccc(C)c1-n1c(-c2cccc(Cl)c2)n[nH]c1=S,inactive,3.4472952900865246
